name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Best Western Clermont,pet-friendly-hotels,4004 Williams Dr.,Cincinnati,OH,45255,,https://www.bestwestern.com/en_US/book/hotels-in-cincinnati/best-western-clermont/propertyCode.36135.html,https://www.bestwestern.com/en_US/book/hotels-in-cincinnati/best-western-clermont/propertyCode.36135.html,OFFICIAL_PROPERTY,2026-08-17,,,"PET POLICY
We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 40 USD per day.",,cincinnati-oh
Best Western Inn Florence,pet-friendly-hotels,7821 Commerce Drive,Florence,KY,41042,8595250090,https://www.bestwestern.com/en_US/book/hotels-in-florence/best-western-inn-florence/propertyCode.18070.html,https://www.bestwestern.com/en_US/book/hotels-in-florence/best-western-inn-florence/propertyCode.18070.html,OFFICIAL_PROPERTY,2026-08-17,,,"PET POLICY
We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 30 USD per day.",,cincinnati-oh
Best Western Plus Whitewater Inn,pet-friendly-hotels,391 Comfort Dr.,Harrison,OH,45030,5138454970,https://www.bestwestern.com/en_US/book/hotels-in-harrison/best-western-plus-whitewater-inn/propertyCode.36158.html,https://www.bestwestern.com/en_US/book/hotels-in-harrison/best-western-plus-whitewater-inn/propertyCode.36158.html,OFFICIAL_PROPERTY,2026-08-17,,,"PET POLICY
We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 20 USD per day.",,cincinnati-oh
Extended Stay America Florence Meijer Drive,pet-friendly-hotels,200 Meijer Dr,Florence,KY,41042,8597460172,https://www.extendedstayamerica.com/hotels/oh/cincinnati/florence-meijer-drive,https://www.extendedstayamerica.com/hotels/oh/cincinnati/florence-meijer-drive,OFFICIAL_PROPERTY,2026-08-17,,,"Yes. Extended Stay America Cincinnati - Florence - Meijer Drive offers pet-friendly rooms, so you can bring your furry companion along for your stay.",,cincinnati-oh
Extended Stay America Florence Turfway Road,pet-friendly-hotels,7350 Turfway Road,Florence,KY,41042,8592827829,https://www.extendedstayamerica.com/hotels/oh/cincinnati/florence-turfway-rd,https://www.extendedstayamerica.com/hotels/oh/cincinnati/florence-turfway-rd,OFFICIAL_PROPERTY,2026-08-17,,,"Yes. Extended Stay America Cincinnati - Florence - Turfway Rd. offers pet-friendly rooms, so you can bring your furry companion along for your stay.",,cincinnati-oh
Extended Stay America Suites - Cincinnati - Covington,pet-friendly-hotels,650 West 3rd St,Covington,KY,41011,8595813000,https://www.extendedstayamerica.com/hotels/oh/cincinnati/covington,https://www.extendedstayamerica.com/hotels/oh/cincinnati/covington,OFFICIAL_PROPERTY,2026-08-17,,,"Yes. Extended Stay America Cincinnati - Covington offers pet-friendly rooms, so you can bring your furry companion along for your stay.",,cincinnati-oh
Motel 6 Florence - Commerce Dr.,pet-friendly-hotels,7820 Commerce Drive,Florence,KY,41042,8599801380,https://www.motel6.com/property/motel-florence-kentucky-us-294340/,https://www.motel6.com/property/motel-florence-kentucky-us-294340/,OFFICIAL_PROPERTY,2026-08-17,,,"Amenities
Pets Allowed",,cincinnati-oh
Motel 6 Sharonville,pet-friendly-hotels,11620 Chester Rd.,Sharonville,OH,45246,5137710370,https://www.motel6.com/property/motel-cincinnati-oh-ohio-us-294230/,https://www.motel6.com/property/motel-cincinnati-oh-ohio-us-294230/,OFFICIAL_PROPERTY,2026-08-17,,,"Amenities
Pets Allowed",,cincinnati-oh
Motel 6 Walton/Richwood,pet-friendly-hotels,164 Winning Colors Drive,Richwood,KY,41097,8594852330,https://www.motel6.com/property/motel-walton-kentucky-us-294341/,https://www.motel6.com/property/motel-walton-kentucky-us-294341/,OFFICIAL_PROPERTY,2026-08-17,,,"Amenities
Pets Allowed",,cincinnati-oh
Doubletree by Hilton Cincinnati Airport,pet-friendly-hotels,2826 Terminal Dr.,Hebron,KY,41048,8593716166,https://www.hilton.com/en/hotels/cvghbdt-doubletree-cincinnati-airport/hotel-info/,https://www.hilton.com/en/hotels/cvghbdt-doubletree-cincinnati-airport/hotel-info/,OFFICIAL_PROPERTY,2026-08-17,,,"Pets
Non-refundable fee: $25.00
Max weight: 25 lbs
Max size: Medium",,cincinnati-oh
