name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Asheville Downtown,pet-friendly-hotels,10 Broadway Street,Asheville,NC,28801,+1-828-258-2522,https://www.marriott.com/en-us/hotels/avlac-ac-hotel-asheville-downtown/overview/,https://www.marriott.com/en-us/hotels/avlac-ac-hotel-asheville-downtown/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy | Pets Welcome | Pet fee $25 non-refundable fee per day (Pet cannot be left unattended in room) | Non-Refundable Pet Fee Per Night: $25.00 | Maximum Number of Pets in Room: 2,,asheville-nc
Aloft by Marriott Asheville Downtown,pet-friendly-hotels,51 Biltmore Avenue,Asheville,NC,28801,+1-828-232-2838,https://www.marriott.com/en-us/hotels/avlal-aloft-asheville-downtown/overview/,https://www.marriott.com/en-us/hotels/avlal-aloft-asheville-downtown/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy | Pets Welcome | Pets are allowed with no pet fee. Waivers must be signed upon arrival. | Maximum Number of Pets in Room: 2,,asheville-nc
AutoCamp Asheville,pet-friendly-hotels,125 Amberglow Road,Asheville,NC,28804,+1 844-395-5163,https://www.hilton.com/en/hotels/avlavou-autocamp-asheville/,https://www.hilton.com/en/hotels/avlavou-autocamp-asheville/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 0 lbs maximum, Dogs allowed, maximum 2 dogs per accommodation.",,asheville-nc
Candlewood Suites Asheville Downtown,pet-friendly-hotels,49 Tunnel Road,Asheville,NC,28805,1-828-2200300,https://www.ihg.com/candlewood/hotels/us/en/asheville/avltu/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/asheville/avltu/hoteldetail,OFFICIAL_PROPERTY,2026-09-13,,,Pets are welcome at Candlewood Suites Asheville Downtown. Pet policy description. The pet fee is 30 USD per night for up to two pets and reduces to 25 USD per night when you stay longer than 7 nights. Pets must be secured in a proper pet crate when leaving the hotel premises. Pet fee per night: 30 USD Pet weight limit: 80 2 pets allowed Pets allowed: Only dogs and cats allowed,,asheville-nc
DoubleTree by Hilton Asheville Downtown,pet-friendly-hotels,199 Haywood Street,Asheville,NC,28801,+1 828-505-8500,https://www.hilton.com/en/hotels/avlildt-doubletree-asheville-downtown/,https://www.hilton.com/en/hotels/avlildt-doubletree-asheville-downtown/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum",,asheville-nc
DoubleTree by Hilton Hotel Asheville - Biltmore,pet-friendly-hotels,115 Hendersonville Road,Asheville,NC,28803,+1 828-274-1800,https://www.hilton.com/en/hotels/avlbmdt-doubletree-asheville-biltmore/,https://www.hilton.com/en/hotels/avlbmdt-doubletree-asheville-biltmore/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, Walking areas & treat at check in. 2 pets max per room.",,asheville-nc
Downtown Inn & Suites,pet-friendly-hotels,120 Patton Avenue,Asheville,NC,28801,,https://www.downtowninnandsuites.com/index.php?option=com_sppagebuilder&view=page&id=22&Itemid=696,https://www.downtowninnandsuites.com/index.php?option=com_sppagebuilder&view=page&id=22&Itemid=696,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome! We are a pet friendly hotel. Please register your pet at the front desk when you check in. There is a $15 fee per pet per night.,,asheville-nc
Element by Marriott Asheville Downtown,pet-friendly-hotels,62 College Place,Asheville,NC,28801,+18285755881,https://www.marriott.com/en-us/hotels/avlel-element-asheville-downtown/overview/,https://www.marriott.com/en-us/hotels/avlel-element-asheville-downtown/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy | Pets Welcome | 2 pets max per room with a non-refundable fee | Non-Refundable Pet Fee Per Night: $50.00 | Maximum Number of Pets in Room: 2,,asheville-nc
Embassy Suites by Hilton Asheville Downtown,pet-friendly-hotels,192 Haywood Street,Asheville,NC,28801,+1 828-407-0422,https://www.hilton.com/en/hotels/avleses-embassy-suites-asheville-downtown/,https://www.hilton.com/en/hotels/avleses-embassy-suites-asheville-downtown/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n) $125(5+n)dog/cat only 2 max",,asheville-nc
Extended Stay America - Asheville - Tunnel Rd.,pet-friendly-hotels,6 Kenilworth Knoll,Asheville,NC,28805,1-828-253-3483,https://www.extendedstayamerica.com/hotels/nc/asheville/tunnel-rd,https://www.extendedstayamerica.com/hotels/nc/asheville/tunnel-rd,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy A maximum of two pets are allowed in each suite.,,asheville-nc
