name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Cleveland Beachwood,pet-friendly-hotels,300 Park Ave.,Orange Village,OH,44122,216.831.1108,https://www.marriott.com/en-us/hotels/cleac-ac-hotel-cleveland-beachwood/overview/,https://www.marriott.com/en-us/hotels/cleac-ac-hotel-cleveland-beachwood/overview/,OFFICIAL_PROPERTY,2026-08-10,,,Pet Policy Pets Welcome $150.00 Non Refundable Pet Fee per stay Maximum Pet Weight: 35.0lbs Maximum Number of Pets in Room: 1,,cleveland-akron-canton-oh
Cleveland Marriott Downtown at Key Tower,pet-friendly-hotels,1360 West Mall Dr.,Cleveland,OH,44114,216.696.9200,https://www.marriott.com/en-us/hotels/clesc-cleveland-marriott-downtown-at-key-tower/overview/,https://www.marriott.com/en-us/hotels/clesc-cleveland-marriott-downtown-at-key-tower/overview/,OFFICIAL_PROPERTY,2026-08-10,,,Pet Policy Pets Welcome Dogs & service animals only Non-Refundable Pet Fee Per Stay: $100.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1,,cleveland-akron-canton-oh
Comfort Inn Mayfield Heights Cleveland East,pet-friendly-hotels,1421 Golden Gate Blvd.,Mayfield Heights,OH,44124,440.442.8400,https://www.choicehotels.com/ohio/mayfield-heights/comfort-inn-hotels/oh502,https://www.choicehotels.com/ohio/mayfield-heights/comfort-inn-hotels/oh502,OFFICIAL_PROPERTY,2026-08-10,,,"Pets Pets Allowed: Yes General: We only allow dogs, 25.00 USD per night. Limit 40 pounds and only 2 per room.. Service animals are permitted, without charge. Good to know Hotel alerts This is a smoke-free hotel has much to offer including all new remodeled rooms. Daily housekeeping service is not available. We only allow dogs, 25.00 USD per night. Limit 40 pounds and only 2 per room. Service animals are permitted, without charge. LIMITED TIME OFFER Earn 60,000 bonus points after qualifying purchases. Terms apply. Learn more UNIQUE DEALS Packages & Offers (3) EXTRA POINTS Choice Privileges",,cleveland-akron-canton-oh
Courtyard by Marriott Airport North,pet-friendly-hotels,24901 Country Club Blvd.,North Olmsted,OH,44070,440.716.9977,https://www.marriott.com/en-us/hotels/cleno-courtyard-cleveland-airport-north/overview/,https://www.marriott.com/en-us/hotels/cleno-courtyard-cleveland-airport-north/overview/,OFFICIAL_PROPERTY,2026-08-10,,,Pet Policy Pets Welcome Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $100.00 Non-Refundable Pet Fee Per Night: $20.00 Maximum Pet Weight: 75.0lbs Maximum Number of Pets in Room: 1,,cleveland-akron-canton-oh
Embassy Suites Beachwood,pet-friendly-hotels,3775 Park East Dr.,Beachwood,OH,44122,216.765.8066,https://www.hilton.com/en/hotels/clebhes-embassy-suites-cleveland-beachwood/,https://www.hilton.com/en/hotels/clebhes-embassy-suites-cleveland-beachwood/,OFFICIAL_PROPERTY,2026-08-10,,,Pets Smoking WiFi Pets allowed Yes Deposit Yes. $75.00 Non-refundable Fee Other pet information 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only,,cleveland-akron-canton-oh
Embassy Suites Rockside - Independence,pet-friendly-hotels,5800 Rockside Woods Blvd.,Independence,OH,44131,216.986.9900,https://www.hilton.com/en/hotels/cleines-embassy-suites-cleveland-rockside/,https://www.hilton.com/en/hotels/cleines-embassy-suites-cleveland-rockside/,OFFICIAL_PROPERTY,2026-08-10,,,Pets Smoking WiFi Pets allowed Yes Deposit Yes. $75.00 Non-refundable Fee Other pet information 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only,,cleveland-akron-canton-oh
Hampton Inn & Suites Streetsboro,pet-friendly-hotels,800 Mondial Parkway,Streetsboro,OH,44241,330.422.0500,https://www.hilton.com/en/hotels/stbohhx-hampton-suites-cleveland-southeast-streetsboro/,https://www.hilton.com/en/hotels/stbohhx-hampton-suites-cleveland-southeast-streetsboro/,OFFICIAL_PROPERTY,2026-08-10,,,"Pets Smoking WiFi Pets allowed Yes Deposit Yes. $75.00 Non-refundable Fee Other pet information $75(1-4n)$125(5+n) 2petsMax,dog/cat only",,cleveland-akron-canton-oh
Holiday Inn Express & Suites,pet-friendly-hotels,30500 Clemens Rd.,Westlake,OH,44145,440.808.0500,https://www.ihg.com/holidayinnexpress/hotels/us/en/westlake/clelw/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/us/en/westlake/clelw/hoteldetail,OFFICIAL_PROPERTY,2026-08-10,,,"Can I bring my pet to Holiday Inn Express & Suites Cleveland West - Westlake? Pets are welcome at Holiday Inn Express & Suites Cleveland West - Westlake. Pet policy description. 75.00 for 1 to 4 nights. 125 for 5 or more nights. Per stay,up to 2 pets max. Pet fee per night: 75 USD Pet weight limit: 75 2 pets allowed Pets allowed: Only dogs allowed Pet policy Can I cancel my booking at Holiday Inn Express & Suites Cleveland West - Westlake for a full refund? Does Holiday Inn Express & Suites Cleveland West - Westlake have a restaurant on site? Is there free breakfast available at Holiday",,cleveland-akron-canton-oh
Home2 Suites by Hilton Cleveland Beachwood,pet-friendly-hotels,3589 Park E Dr.,Beachwood,OH,44122,216.755.7310,https://www.hilton.com/en/hotels/clehtht-home2-suites-cleveland-beachwood/,https://www.hilton.com/en/hotels/clehtht-home2-suites-cleveland-beachwood/,OFFICIAL_PROPERTY,2026-08-10,,,"Pets Smoking WiFi Pets allowed Yes Deposit Yes. $50.00 Non-refundable Fee Max weight 75 lbs Other pet information $50 for one pet $75 2petsMax,dog/cat only",,cleveland-akron-canton-oh
Hotel Indigo Cleveland-Beachwood,pet-friendly-hotels,3581 Park E Dr.,Beachwood,OH,44122,216.454.8000,https://www.ihg.com/hotelindigo/hotels/us/en/beachwood/clebd/hoteldetail,https://www.ihg.com/hotelindigo/hotels/us/en/beachwood/clebd/hoteldetail,OFFICIAL_PROPERTY,2026-08-10,,,"Can I bring my pet to Hotel Indigo Cleveland-Beachwood? Pets are welcome at Hotel Indigo Cleveland-Beachwood. Pet policy description. Pets under 75lbs are welcome. A 100 dollar non refundable fee per stay. There is a 2 pet per room maximum and a signed pet policy agreement required. Required vaccination records showing up to date rabies, distemper, parvovirus and bordetella. Pet fee per night: 100 USD Pet damage deposit: 100 USD Pet weight limit: 75 2 pets allowed Pets allowed: Only dogs allowed Pet policy Can I cancel my booking at Hotel Indigo Cleveland-Beachwood for a full refund? D",,cleveland-akron-canton-oh
