name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
DoubleTree by Hilton Green Tree,pet-friendly-hotels,500 Mansfield Avenue,Pittsburgh,PA,15205,412-922-8400,https://www.hilton.com/en/hotels/pitgtdt-doubletree-pittsburgh-green-tree/,https://www.hilton.com/en/hotels/pitgtdt-doubletree-pittsburgh-green-tree/,OFFICIAL_PROPERTY,2026-08-16,,,Pets allowed Yes […] 1-4 nights$50 per pet 5+ night stay $125 per pet 2 pet max dog or cat only […] Max weight 50 lbs,,pittsburgh-pa
DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown,pet-friendly-hotels,One Bigelow Square,Pittsburgh,PA,15219,412-281-5800,https://www.hilton.com/en/hotels/pitdtdt-doubletree-hotel-and-suites-pittsburgh-downtown/,https://www.hilton.com/en/hotels/pitdtdt-doubletree-hotel-and-suites-pittsburgh-downtown/,OFFICIAL_PROPERTY,2026-08-16,,,Pets allowed Yes […] Max weight 50 lbs […] Yes. $50.00 Non-refundable Fee,,pittsburgh-pa
Drury Plaza Hotel Pittsburgh Downtown,pet-friendly-hotels,745 Grant Street,Pittsburgh,PA,15219,412-281-2900,https://www.druryhotels.com/locations/pittsburgh-pa/drury-plaza-hotel-pittsburgh-downtown,https://www.druryhotels.com/locations/pittsburgh-pa/drury-plaza-hotel-pittsburgh-downtown,OFFICIAL_PROPERTY,2026-08-16,,,Dogs and cats accepted. Rooms with pets will be charged a daily fee of $50 per room plus tax. Service animals are free of charge. Limit of two pets per room with a combined weight of 80 pounds.,,pittsburgh-pa
Etage Executive Living Downtown,pet-friendly-hotels,424 Stanwix Street,Pittsburgh,PA,15222,412-646-8696,https://www.stayetage.com/pet-friendly.htm,https://www.stayetage.com/pet-friendly.htm,OFFICIAL_PROPERTY,2026-08-16,,,Be advised that while pets are allowed a one-time fee of $200 is assessed per stay. […] Etage allows both cats and dogs. […] Two pets per room allowed with 50 lb max weight per pet.,,pittsburgh-pa
EVEN Hotel Pittsburgh Downtown,pet-friendly-hotels,425 Forbes Ave,Pittsburgh,PA,15219,412-301-2277,https://www.ihg.com/evenhotels/hotels/us/en/pittsburgh/pitev/hoteldetail,https://www.ihg.com/evenhotels/hotels/us/en/pittsburgh/pitev/hoteldetail,OFFICIAL_PROPERTY,2026-08-16,,,Pets are welcome at EVEN Hotel Pittsburgh Downtown. […] Two dogs up to 70 lbs for a fee of 50 dollars per stay. […] Pet weight limit: 70 […] 2 pets allowed […] Pet fee per night: 50 USD,,pittsburgh-pa
Fairmont Pittsburgh,pet-friendly-hotels,510 Market Street,Pittsburgh,PA,15222,412-773-8800,https://www.fairmont.com/en/hotels/pittsburgh/fairmont-pittsburgh.html,https://www.fairmont.com/en/hotels/pittsburgh/fairmont-pittsburgh.html,OFFICIAL_PROPERTY,2026-08-16,,,Fairmont Pittsburgh welcomes pets of all sizes for a nightly fee of $60. […] Pets must remain on a leash at all times and may not be left unattended in guest rooms. Any damage caused by pets will be the guest's responsibility.,,pittsburgh-pa
Hampton Inn & Suites Pittsburgh Downtown,pet-friendly-hotels,1247 Smallman Street,Pittsburgh,PA,15222,412-288-4350,https://www.hilton.com/en/hotels/pitdnhx-hampton-suites-pittsburgh-downtown/,https://www.hilton.com/en/hotels/pitdnhx-hampton-suites-pittsburgh-downtown/,OFFICIAL_PROPERTY,2026-08-16,,,"Pets allowed Yes […] 2petsMax,dog/cat only […] Max weight 75 lbs […] Yes. $75.00 Non-refundable Fee",,pittsburgh-pa
Hampton Inn Pittsburgh Green Tree,pet-friendly-hotels,555 Trumbull Drive,Pittsburgh,PA,15205,412-922-0100,https://www.hilton.com/en/hotels/pitgnhx-hampton-pittsburgh-greentree/,https://www.hilton.com/en/hotels/pitgnhx-hampton-pittsburgh-greentree/,OFFICIAL_PROPERTY,2026-08-16,,,Pets allowed Yes […] $50 2 pets Max dog/cat only […] Yes. $50.00 Non-refundable Fee,,pittsburgh-pa
Hilton Garden Inn Pittsburgh Downtown,pet-friendly-hotels,250 Forbes Avenue,Pittsburgh,PA,15222,412-281-5557,https://www.hilton.com/en/hotels/pitfagi-hilton-garden-inn-pittsburgh-downtown/,https://www.hilton.com/en/hotels/pitfagi-hilton-garden-inn-pittsburgh-downtown/,OFFICIAL_PROPERTY,2026-08-16,,,Pets allowed Yes […] $75/stay for 1-4 night stays $125/stay 5+ night stays 2 pets max dog or cats only […] Max weight 75 lbs,,pittsburgh-pa
Homewood Suites Pittsburgh Downtown,pet-friendly-hotels,1410 Smallman Street,Pittsburgh,PA,15222,412-232-0200,https://www.hilton.com/en/hotels/pitdohw-homewood-suites-pittsburgh-downtown/,https://www.hilton.com/en/hotels/pitdohw-homewood-suites-pittsburgh-downtown/,OFFICIAL_PROPERTY,2026-08-16,,,"Pets allowed Yes […] $75(1-4n) $125(5+n) 2pets Max,dogs only […] Max weight 75 lbs",,pittsburgh-pa
